uniqname,command,file path,site
aadhar,useradd,ubuntu/useradd.md,2
saidala,alias,basics/alias.md,2
oalejel,bg,basics/bg.md,2
aaalex,cat,basics/cat.md,2
jalgrana,cd,basics/cd.md,2
alhazzaa,chmod,basics/chmod.md,2
ravshari,chown_chgrp,basics/chown_chgrp.md,2
allibail,cp,basics/cp.md,2
bnigel,cut,basics/cut.md,2
jajabarr,date,basics/date.md,2
kylebart,df,basics/df.md,2
basaksum,dot,basics/dot.md,2
pramat,du,basics/du.md,2
jubeemer,echo,basics/echo.md,2
begic,expand,basics/expand.md,2
sbein,fg,basics/fg.md,2
bbekheet,gcc,basics/gcc.md,2
ianbell,gzip,basics/gzip.md,2
jbbe,halt,basics/halt.md,2
bianduom,hash,basics/hash.md,2
pcboaben,head,basics/head.md,2
shadae,history,basics/history.md,2
zboyle,id,basics/id.md,2
sbrav,jobs,basics/jobs.md,2
jgbrock,join,basics/join.md,2
abunt,kill,basics/kill.md,2
jacoburl,less,basics/less.md,2
karlcai,ln,basics/ln.md,2
andcmps,locate,basics/locate.md,2
saican,ls,basics/ls.md,2
julcarp,man,basics/man.md,2
ceccion,mkdir,basics/mkdir.md,2
robcecil,more,basics/more.md,2
chaojy,mv,basics/mv.md,2
ndcharle,nl,basics/nl.md,2
tusharch,passwd,basics/passwd.md,2
umdchen,printf,basics/printf.md,2
ricchen,pwd,basics/pwd.md,2
ckairen,rm,basics/rm.md,2
tchon,rmdir,basics/rmdir.md,2
ehcole,rsync,basics/rsync.md,2
jmcolvin,seq,basics/seq.md,2
combsc,sleep,basics/sleep.md,2
zersesc,sort,basics/sort.md,2
rpdailey,su,basics/su.md,2
devore,sudo,basics/sudo.md,2
dnora,tail,basics/tail.md,2
hdomingu,tar,basics/tar.md,2
dowler,time,basics/time.md,2
anandrav,top,basics/top.md,2
ztdurgan,logsave,ubuntu/logsave.md,2
afdzioba,uniq,basics/uniq.md,2
cestrell,uptime,basics/uptime.md,2
eskreddy,wc,basics/wc.md,2
fangjy,whereis,basics/whereis.md,2
afatim,which,basics/which.md,2
nfeygin,who,basics/who.md,2
gfolbe,whoami,basics/whoami.md,2
cmfh,atom,editors/atom.md,2
jarfree,ed,editors/ed.md,2
sfuen,emacs,editors/emacs.md,2
gaavar,gedit,editors/gedit.md,2
jkgags,nano,editors/nano.md,2
egajda,vi,editors/vi.md,2
elgarber,brew,os_x/brew.md,2
razeen,caffeinate,os_x/caffeinate.md,2
joegins,ditto,os_x/ditto.md,2
shaneajg,open,os_x/open.md,2
taligoro,pbcopy,os_x/pbcopy.md,2
